ticket,last_date,price,mom_252,mom_90,mom_60,mom_20,mom_5,ma_20,ma_60,ma_200,ma_ratio_s_l,price_vs_ma_long,ann_vol_90,vol_90,ann_vol_30,vol_30,max_drawdown,downside_dev,avg_vol_20,avg_vol_60,vol_spike,mom_accel,volatility_change,rsi_14,atr_14,ann_return,sharpe_like,calmar,trend_r2,consec_up_10,skewness,kurtosis,history_days,score
qfemf,2026-02-27,595.3263194021539,4.953263194021539,1.454890513440617,1.349155905550087,0.949143608950382,0.18332379516139974,444.5393676079273,364.1434052430767,243.2807072503453,1.8272692998571884,2.447075751005167,0.9041690442650996,0.05695729605448583,1.0155420589727953,0.06397313652305968,-0.3641565114194808,0.042936667719276296,76080781.26615277,69824518.55006604,0.8633771949977113,-0.40001229659970505,1.1231772026380769,73.83944597978244,49.32565317832824,11.362034673161864,12.566272585008507,31.20096529064575,0.8289953437266786,2,0.8085926742904264,1.0561178948608854,241,2.1498622740527975
srgsv,2026-02-27,268.7019834058059,1.6870198340580589,0.8714115673190597,0.8774567037353826,0.5023125939613979,0.3322395676905774,203.57815575094588,170.85905612253285,133.00744979354891,1.5305770922260717,2.020202506106678,0.6346395664802842,0.039978534882587506,0.7345920867452576,0.0462749518239033,-0.15113872269243378,0.03343019782066184,2274763090.285011,1823439615.5920465,1.5956671112879912,-0.3751441097739847,1.1574949378933557,74.49799244221742,14.65475367234077,4.781946471949972,7.5349012644621,31.63945272768514,0.8567804446650757,4,0.2740648084456285,0.7652018513856449,241,1.5473592342832023
nrcuv,2026-02-27,299.09566074656834,1.9909566074656833,0.9932142501031511,0.5207800898991577,0.13719768483317152,0.008465351792475317,281.4920863398162,240.72600911476349,162.74947865874293,1.729603613221558,1.837767243309465,0.5492942725098683,0.03460228670602987,0.6439713675437015,0.04056638309444775,-0.1099311959159458,0.025096476425065888,14365269.858323729,13390842.952565856,1.6103095864117987,-0.3835824050659862,1.1723613345336148,65.12505426365993,15.616237436683624,5.898444165554483,10.738222589875111,53.655780931051424,0.9637699162815081,0,0.5242709027240184,-0.13802457587106165,241,1.3633460659968117
dlzxf,2026-02-27,168.245834090147,0.6824583409014702,1.1476942397278145,1.1308738337636401,0.320097035144409,0.3515032599954049,134.70162961476814,108.08508025369677,88.21836048281959,1.5269115054510016,1.9071521298676313,0.7434234094566432,0.04683127286300051,1.147254183170746,0.07227022045829373,-0.3796337136191327,0.03199069349181506,103575597.08568133,86714303.68895236,1.9826096951827175,-0.8107767986192311,1.5432042723352661,73.76542907384919,8.514230044254552,7.502034570192759,10.091200350653311,19.761244328577128,0.4742319081925597,2,1.7437567909526097,5.299796958541966,241,1.292640649050457
qzukm,2026-02-27,254.34315202931293,1.5434315202931295,0.7719885066745804,0.8074109839659027,0.34408991288506674,0.1635279028456731,200.90845037844218,175.54846413335406,142.75157227580866,1.4073992123103338,1.7817187437776012,0.5625647226988597,0.03543824649140943,0.6705804672933146,0.04224259882179983,-0.19763483826883443,0.02295565301685161,696522015.7766292,551336343.5401872,1.459418002949402,-0.463321071080836,1.1920058955781159,82.09032956476901,14.148692682478043,3.96238575974669,7.04343091535754,20.04902472891354,0.822376586853547,0,0.9439308939937755,0.6875004545700683,241,1.2485331017962527
pnmhm,2026-02-27,184.5338691301732,0.845338691301732,0.9404399946276989,0.648520783385345,0.18553194086602387,0.039940263466137216,168.89882593989114,136.77761356983655,109.91179025721634,1.5366761431425713,1.678926971316242,0.4764769559635368,0.03001522692696649,0.6616881463104173,0.04168243525277822,-0.16178048874555806,0.022397530001439122,975466606.6464245,712875061.0217652,1.0226773565403748,-0.46298884251932115,1.3887096461645974,63.10433211293765,10.101011285974142,5.399125218408172,11.331345935691692,33.37315432950448,0.6272856689480922,0,0.7845301093900723,1.1610160253211337,241,1.2482648471372284
xvzkf,2026-02-27,212.28707464343407,1.1228707464343408,0.5906113468921665,0.8350125427989867,0.4724607398469105,0.19328416456216524,169.7131014084638,143.20757144049148,120.30008101583196,1.4107480225613327,1.7646461486067628,0.49519503363907164,0.031194354987696377,0.6130001169937049,0.038615377695686716,-0.23049998283386197,0.02608011959268134,1300389683.4618502,976938218.2433981,1.5597288284636317,-0.36255180295207623,1.2378963319785643,73.35165575566211,12.634401475802827,2.667578460470763,5.386924906874282,11.573009367178479,0.7986146351619889,2,0.38452901320988186,0.38252715955018113,241,1.1690995739339864
lzakx,2026-02-27,187.59338184113776,0.8759338184113776,0.6704545806402864,0.6704545806402864,0.44117649219479604,0.21415923288354355,153.8621235159115,126.36118865071187,108.50037706108984,1.4180791595577884,1.7289652526625467,0.5503416111620058,0.034668262839649425,0.6720315513278006,0.042334008523864264,-0.16925351123788557,0.027735548769536524,690529443.1193589,528621674.67137533,1.2450053260828606,-0.22927808844549036,1.2211170961391389,70.46233543388252,10.43053428224526,3.2066567935244397,5.826666071558392,18.945880472857596,0.7057254525322054,4,0.3577900649607178,1.381442821295268,241,1.1668309631311358
xijqn,2026-02-27,244.16162695101772,1.441616269510177,0.6974262647529166,0.7789474509759633,0.30250484669593614,0.050913385021271296,211.7361609073874,170.8123017830729,136.54412046474033,1.550679444747774,1.78815188906123,0.4792489580401235,0.03018984664430942,0.6635703420971121,0.04180100244254793,-0.13615615377234902,0.024048726244606366,970334931.6576719,619791626.3217858,1.3250956877085698,-0.47644260428002716,1.3846046602295423,67.46765526944293,14.647373391479876,3.399613945740965,7.093628246253472,24.968492804409465,0.8322109108073111,0,0.672926174569317,1.2636129570338825,241,1.1607875372862382
xzkiy,2026-02-27,205.2284203864786,1.0522842038647862,0.8001876347761099,0.5827921473965882,0.04424774404338616,0.05671643660577885,203.75008146405997,168.82151608595262,128.32931988792205,1.5877126259253913,1.599232510264358,0.5383781940196481,0.0339146383970493,0.671777042173735,0.04231797595414886,-0.1911764671508278,0.030202876776393453,11035917834.015364,9575369343.583319,0.6795427909530655,-0.5385444033532021,1.2477790675553242,44.247783119962634,8.841055876106191,4.186683745093674,7.776473474594108,21.89957690655832,0.8027573091552939,1,0.27793415600597415,2.38780150381384,241,1.0931567062752743
