Ticker,Date,Open,High,Low,Close,Volume
,,,,,,
601628.0,2025-03-03,101.84847458290342,102.26503237526927,99.53137124214827,100.0,29899357.193945847
601628.0,2025-03-04,99.73966261998454,100.02603805445496,99.01067897977076,99.3751658341167,27429612.800621208
601628.0,2025-03-05,99.40121089749223,100.4946715112742,98.75033864694895,99.97398165605749,20852240.817792103
601628.0,2025-03-06,100.54673401693641,102.55142157159516,99.50534446266694,102.18693473102476,38218784.66626676
601628.0,2025-03-07,101.74434944694501,101.74434944694501,100.13017920255724,100.96329484348946,31090258.53672874
601628.0,2025-03-10,100.44260729551466,100.49466833417257,97.29237815452151,98.43791963543613,55992785.05310783
601628.0,2025-03-11,97.50065590154432,98.25567002437302,96.66754029412006,98.25567002437302,43623138.07545259
601628.0,2025-03-12,98.25566925760418,98.62015609156775,96.8497829567265,97.47461469165788,39114657.38646745
601628.0,2025-03-13,97.37047458727946,98.54203647566207,96.90184585931827,97.31840362511485,36523098.87413091
601628.0,2025-03-14,97.34444275703322,103.5928197285876,97.16219933908569,102.9940185079712,105103134.60370053
601628.0,2025-03-17,101.82244620595236,102.96797767615413,101.69227375526239,102.60349084161365,40039758.399314314
601628.0,2025-03-18,102.94194848110698,103.35850628757922,101.56209267780649,101.79640706466719,29059288.03347074
601628.0,2025-03-19,101.69227933514784,102.4472835631856,100.88519420615074,102.00469522025044,24685391.46580138
601628.0,2025-03-20,102.00468644293386,102.05675740789066,98.46394027803952,98.8284271012161,48737760.96999942
601628.0,2025-03-21,98.72428840804413,100.2082861291643,97.370483000866,97.73496983599253,36120167.306516595
601628.0,2025-03-24,97.76099881485388,98.80239826869975,97.47461346847021,98.41187099062722,33910159.941184
601628.0,2025-03-25,98.38584054652216,98.90654027383174,97.68289740438242,98.54204351265015,23241036.158569284
601628.0,2025-03-26,98.28170061251289,99.29705963906892,97.55272693837449,98.38584254639593,37941556.73319087
601628.0,2025-03-27,98.62015934793284,100.41656305957827,97.70893230141456,99.01067671227923,50519280.8767293
601628.0,2025-03-28,99.03670648390336,99.81775105990475,98.15151998269629,98.35979390158703,32539128.223792505
601628.0,2025-03-31,97.76100844086773,99.5834526987839,97.42255209531359,97.89118090253552,31960178.206425056
601628.0,2025-04-01,97.89117242017848,98.12548680348591,96.82374243656054,97.34444216963496,32758672.708767164
601628.0,2025-04-02,97.34444026567392,97.94324147096509,96.71960854342281,97.37048071415506,31039660.414392628
601628.0,2025-04-03,96.69356991492131,98.07341576475858,96.09476869835945,97.21426964761204,30790861.159470737
601628.0,2025-04-07,94.50664617332593,94.50664617332593,87.50326452692718,90.67952419963544,84532940.58777823
601628.0,2025-04-08,89.5860436836464,93.20489130333482,89.09138441751263,93.04868834114573,66208744.53252682
