Ticker,Date,DLOFS_Open,DLOFS_High,DLOFS_Low,DLOFS_Close,DLOFS_Volume,ZHWSM_Open,ZHWSM_High,ZHWSM_Low,ZHWSM_Close,ZHWSM_Volume,XTIOA_Open,XTIOA_High,XTIOA_Low,XTIOA_Close,XTIOA_Volume,LDJLG_Open,LDJLG_High,LDJLG_Low,LDJLG_Close,LDJLG_Volume,BUOPF_Open,BUOPF_High,BUOPF_Low,BUOPF_Close,BUOPF_Volume,BOTBY_Open,BOTBY_High,BOTBY_Low,BOTBY_Close,BOTBY_Volume,GFPRS_Open,GFPRS_High,GFPRS_Low,GFPRS_Close,GFPRS_Volume,ZDKAF_Open,ZDKAF_High,ZDKAF_Low,ZDKAF_Close,ZDKAF_Volume,ZTBWZ_Open,ZTBWZ_High,ZTBWZ_Low,ZTBWZ_Close,ZTBWZ_Volume,KZIYL_Open,KZIYL_High,KZIYL_Low,KZIYL_Close,KZIYL_Volume
1.0,2025-03-03,100.08688295988686,100.43440651381916,99.478710526294,100.0,759741483.6165171,99.48652166817838,102.18228597081414,99.48652166817838,100.0,2430888086.3582826,103.37576436443597,103.7631450838959,97.9800787090068,100.0,725482868.5944184,99.14346978159428,100.85653021840572,98.92933212167006,100.0,6476660865.698998,98.52216887622752,102.2167525580376,98.52216887622752,100.0,1784237016.1204453,100.59171068945668,101.77514147344182,99.80275683346656,100.0,1825674620.792342,99.78424534222196,100.97086509675628,99.24486898552512,100.0,175559225.41913316,102.39436189893266,102.80281389263315,99.78873024524098,100.0,60335775.02975144,99.62073661757394,103.09734374570483,99.30467978003036,100.0,686337056.117021,98.6192060115602,101.2887332524666,98.5885269029797,100.0,27491604.196966127
1.0,2025-03-04,99.6524764460677,100.3475235539323,99.39182756640712,100.0,625004368.8663789,99.1014098587399,99.22978250226758,96.6623908431595,98.07445319509668,1872187698.51326,99.30824424070468,103.76314355972198,98.36745798354988,102.40730050619516,447487431.4483278,101.71305795905091,104.49678620637984,100.85652776151052,103.64025600883946,13459174040.317532,98.7684776015005,99.9999976364916,97.1674851133516,97.29064064027794,1344122071.334448,99.80274551909486,101.18341931309013,99.60551177999308,100.78894242981586,1365402092.7682314,99.24486898552512,101.83386315237183,98.59762558768762,101.0787424256453,200196883.3179223,100.39435025574682,102.0704097949402,100.39435025574682,101.36618454258996,44654531.09275031,98.7989904321399,101.13780136531898,98.29330190757592,100.632112840755,422511380.32588977,100.09204859216148,100.46026812420877,99.26357220272874,100.0306786701536,20346761.980157867
1.0,2025-03-05,100.08687513868604,101.39008629269016,99.73934332629622,101.30320333959271,988625803.96133,97.56097486327504,98.71630417044597,95.25032237007778,96.6623908431595,1751849893.0459268,102.37963497892568,103.37576284595228,101.05146800800118,102.40730050619516,303047313.7496626,102.78372283879872,103.42611536305336,100.6423871962297,102.5695851902838,7746766304.963666,97.78326108796335,104.67981275287929,97.78326108796335,101.60099473073578,2602380807.007894,100.78894429451906,101.1834211850916,99.80274736555234,100.98617803726984,1245132065.560986,100.86299805561558,101.83386315237183,100.21574437002974,100.64724339783751,118289077.22239026,101.26760162072183,101.61971427535184,100.28167974038249,101.05633187881872,42538822.71002405,102.0859731596658,103.91910172796834,100.94817691197724,101.64349717602488,478451967.0810384,99.72384185493276,100.2761594539232,99.04878441058538,99.9386307317495,15784410.29624836
1.0,2025-03-06,101.56384381854384,101.65072677156026,100.7819220982393,101.04256267167416,802694270.1027076,97.30423569736423,100.38511180943848,97.04749653145343,99.7432608340892,2717757420.240593,104.17820657652172,106.75153353488152,104.17820657652172,105.1466584187718,498967690.13055,102.99785971126852,103.42612483688237,102.35546712817074,102.99785971126852,6670178200.538715,101.10837412314324,102.0935948513176,99.50738750367051,101.35467343280806,1502709127.4587214,101.18342705092704,102.95856845887684,100.7889501374858,102.56409154543562,2299211443.8606,100.97086509675628,103.99136857915909,99.0291246154954,103.23623756468425,307402983.74132484,101.28168782385086,101.36619142126742,99.18308869258726,100.19717484408706,59812708.08066444,103.4134093126195,105.18331318121352,102.33881965387349,103.60303498050266,637069991.5356295,100.92052448199986,101.65695183733308,99.93862914496609,101.1660041688162,27562455.23658777
1.0,2025-03-07,101.04256004481572,101.56384117813336,100.7819194781569,101.3900835622322,764388671.1727006,98.20282583862436,98.33119236100748,96.53401819963182,96.6623908431595,2045863989.4792705,104.84228578654636,105.72773049482826,102.54566687298193,103.1820795973512,346264336.0547082,102.78372373238784,102.78372373238784,101.71305590179507,102.14132099190316,4744540610.410924,100.24630879556096,102.09359472236524,100.12315326850532,101.9704391953096,1202319635.3824084,101.97237679997636,101.97237679997636,99.99999231164504,100.1972260579426,1809336916.442005,103.12837052354352,104.42286760696685,102.69687149573572,103.55986955135133,158991664.20921165,100.16902340031012,100.33803061680736,98.9577548691552,99.70423206368928,46795942.36828909,103.35019506073562,106.00506287711184,102.52844365802368,104.8672606620126,571679634.8555317,101.31942093799108,103.49800043853614,100.95121312081392,101.3501000456244,23298497.77621389
1.0,2025-03-10,101.30320589692212,101.39008885221288,100.34751824556773,100.6950417811161,607306826.5045927,96.79075736554265,97.17586917498112,95.5070615359886,96.0205398678102,1255211726.3007095,102.9053663821805,104.01217748984313,101.96458010726712,102.96070799309692,223521153.09082973,101.92719625575307,102.56958880263184,100.42826329529362,100.85652839676128,4962087064.607899,102.4630543840471,105.9113388354488,101.97044399738373,103.32513136927656,1358795999.340911,100.39447104333262,100.39447104333262,99.01379717374276,99.4082740786154,1246392150.359119,104.09923562029977,104.42286760696685,101.40236412456404,101.61811878234208,113240976.06929828,99.73239289313264,100.3662021699009,99.30986412091347,100.09859309222368,40644261.470059976,104.86726495377118,105.62579175717003,102.59166043044226,103.41341186678488,502106797.590026,101.4114754594242,103.09910739344626,100.8898486655932,103.00705836044456,29444937.24787757
1.0,2025-03-11,100.26062942152214,100.86879350172929,100.08687180672617,100.86879350172929,557119517.291738,94.99358320416698,95.63542805837172,94.35173222881768,95.37868889246091,1119888798.808776,101.13448108398782,103.0160537087876,100.88544910260744,102.54566583025438,194685947.28734228,100.21412563923708,100.85652839676128,99.14346799089068,100.85652839676128,4944527514.208673,101.60099154213052,103.57143313530142,100.98522560807504,102.4630568029532,867086645.3918364,98.61932225104172,99.60551923558072,98.42207909210532,99.60551923558072,1431439408.05253,101.29449708342337,102.91261586576546,100.75512072672656,102.69687149573572,110127189.81529376,99.29577268709386,100.61971976152203,99.01408685006167,99.90140690777632,37579997.132975474,101.83313645187796,105.12010611873,101.83313645187796,104.23515413802748,512911414.3576136,102.17858053418388,107.425586034764,101.77968188816952,107.425586034764,37931477.83806028
1.0,2025-03-12,100.78192947307656,103.12771137687436,100.43440592119488,102.95395374374104,1717460088.0112882,95.37868889246091,96.0205398678102,94.99358320416698,95.5070615359886,848739606.2101215,102.60100827760206,111.59381465397442,102.04760269722011,107.30492932251464,713139342.1930188,100.85652540544233,100.85652540544233,99.7858575782056,99.7858575782056,4097969872.8771305,102.5862071151399,102.5862071151399,100.73892115179352,101.23153152500308,719021922.0738617,99.60552108550664,101.18342876601758,99.2110441653789,99.80275484303468,1635633325.81443,102.26536218017964,102.5889941668467,100.1078670411407,100.32362169891876,105021710.02425852,99.97182928614016,99.97182928614016,98.73238586891314,98.73238586891314,44785507.0413431,104.74083980101598,105.05690268290395,103.16056156127448,103.41341186678488,321097880.3772577,107.76311976477288,116.26266134099583,106.53575636594974,114.48298031591158,89551076.97986862
1.0,2025-03-13,102.6064242191001,103.47522890542342,102.34577535615004,102.86706479643568,1200619550.647392,95.12194972655011,95.5070615359886,94.09499306290688,94.35173222881768,973525678.7082232,105.14665148738553,106.11510326579416,102.2689511239246,102.85002219096975,471090831.9930504,100.2141265403985,100.64239164571724,99.57173398774312,100.42826419838062,5449645022.69474,100.86206521934452,101.6009866536096,98.64532440606465,100.0,1132780261.8426757,99.60551723358736,100.59170479323328,98.8165634238421,99.4082740786154,1216258059.5310426,100.32362169891876,100.75512072672656,98.92124728660636,99.5684906844439,98445248.64458916,98.60562332176843,99.50703078950478,98.32392677208544,98.60562332176843,37549774.08650563,103.223767362833,103.60303073964047,99.93679197460985,100.69532475650746,680328465.2299974,114.6057002286361,115.37280668720828,113.2249179672987,114.1454433765622,54003479.129904255
1.0,2025-03-14,102.69329698169764,104.25715698791294,102.69329698169764,103.9965164154152,1575749520.5721076,94.6084713947285,97.43260834089192,94.6084713947285,96.79075736554265,1869732897.474281,102.10293835092482,104.45489873609446,101.82623029921886,104.20586676722554,347550214.62245,100.21412385968044,101.92719444577652,99.99999641807167,101.71305679352253,6119803020.832956,99.8768455980891,100.36945597824304,98.2758647987782,99.8768455980891,815228250.6839398,99.60551382531516,102.56408580808868,99.4082706770924,101.97237517356236,2804791630.552783,99.67636801333292,99.89212267111095,98.16612655987986,98.4897482587986,143131255.06792998,98.63379391360088,101.5492862291722,98.33802057673138,101.225348608345,63238991.98495089,100.695325242054,101.70670228946102,99.99999900074964,101.2010137657575,478229479.9120403,115.61828798885338,115.95581670816256,112.51917129802864,112.91806993949552,43840437.03220843
