Ticker,Date,XUUZA_Open,XUUZA_High,XUUZA_Low,XUUZA_Close,XUUZA_Volume,GJMUI_Open,GJMUI_High,GJMUI_Low,GJMUI_Close,GJMUI_Volume,ISTML_Open,ISTML_High,ISTML_Low,ISTML_Close,ISTML_Volume,BTOCO_Open,BTOCO_High,BTOCO_Low,BTOCO_Close,BTOCO_Volume,NYGEM_Open,NYGEM_High,NYGEM_Low,NYGEM_Close,NYGEM_Volume,TGFWZ_Open,TGFWZ_High,TGFWZ_Low,TGFWZ_Close,TGFWZ_Volume,ZGSRZ_Open,ZGSRZ_High,ZGSRZ_Low,ZGSRZ_Close,ZGSRZ_Volume,ALQLL_Open,ALQLL_High,ALQLL_Low,ALQLL_Close,ALQLL_Volume,POEWK_Open,POEWK_High,POEWK_Low,POEWK_Close,POEWK_Volume,OOINC_Open,OOINC_High,OOINC_Low,OOINC_Close,OOINC_Volume
2384.0,2025-03-03,107.38255308477808,107.55033576377346,97.98658225005956,100.0,371987341.9597004,98.91874207484784,100.98295947759146,98.91874207484784,100.0,120197463.55647492,95.46039964051452,100.80489376786412,95.10625055843371,100.0,108234084.07919176,99.1439641471903,102.25680897466134,98.98832598769113,100.0,457198632.3418336,95.46632106430452,100.7253953499036,95.38860401642177,100.0,207298234.14359885,105.7750687631036,106.0182354115664,97.59878152313782,100.0,388866144.1590219,95.31067255507467,100.79132610262587,95.25205456448332,100.0,187084299.5260138,103.94705297740674,103.94705297740674,99.03096233962565,100.0,127069093.93342587,102.44024345183875,102.71786140579236,99.32817230346144,100.0,38450810.919359416,102.71398988468106,103.3402891166248,98.6430050576595,100.0,1790108086.492294
2384.0,2025-03-04,97.58389230061776,101.67784972543058,95.6711416480372,101.04027044156956,160917960.3769684,99.70511526660364,101.40891760180097,99.27916155805218,101.0812623451085,133047786.29470326,99.80682959517696,102.09272500281229,97.9394762548368,101.15905140306832,62600653.46479154,99.06614135664582,100.38909910954278,97.66536823479414,100.23346095004364,380137397.2754156,98.44559679323872,98.44559679323872,95.85492319341668,97.43523567052978,124640238.67769752,95.37993322809116,102.43160957679456,95.37993322809116,102.15805289183824,246279911.63223112,98.91559512465574,98.91559512465574,95.8382232901586,97.27432492881265,105837723.1256414,99.10186562571894,99.78728493296325,98.01465438971672,98.91278070672804,111152658.30979957,94.39771154823094,96.61031224831652,93.8424819866837,95.7330430598671,66610412.8808272,98.74740029374686,104.1753705871719,98.43425065014584,102.8183854799514,1999097023.807636
2384.0,2025-03-05,101.07382850679096,104.0268458302695,101.00671287658724,103.95973020006572,131993515.2031244,100.9174237546657,102.5229337628228,100.78636541186938,102.09698008735133,125606314.07703371,100.804888720517,102.8654208388568,99.35608369541518,100.57951945933571,69795862.88851364,99.61089346886736,99.68871625941186,96.34241048189716,97.35408449420603,441389379.8928648,97.4093255800862,98.41969660804077,94.87046658136212,95.69948136124606,85231929.25865866,102.12764395944244,104.68083563816968,101.79330723047164,102.9787155822337,175451988.11784774,97.30363951422758,97.42087549541034,95.25205456448332,96.18992005346836,64551792.75934212,99.19640639660804,100.42543130093188,97.94374136978011,99.05459270977892,117252575.61048196,96.3326925023972,98.606368983921,96.3326925023972,98.26489845733389,35161579.617586695,102.50522901256072,103.44468792690768,101.77454317022328,103.23592480974612,1401717062.9046493
2384.0,2025-03-06,103.95973024124106,105.50335773404484,99.32886056382726,101.00671291659292,279873394.3504527,102.52294332471364,110.61598891943156,102.39187872018972,110.09174300034456,609245247.579743,100.35415316298048,101.6741784239135,98.84095512116382,99.64584887250602,65088367.763564505,97.43190728475052,98.83268040660217,96.34241048189716,97.97665197538228,537488762.2540318,96.50259782612726,97.53887128603942,95.36270492633273,97.15026626791334,95291754.54370748,103.37384737474014,105.9270391375695,102.70516229994875,105.0759790815676,172243618.57603177,96.36577402524252,97.68465086295232,96.13130206287698,97.4794823057632,72860928.42391172,99.62183742692336,101.51264148507212,99.62183742692336,100.14180290787368,156248673.5597196,99.99166672023848,100.54412586001888,99.10885042206684,99.64464905388816,28975227.338019863,103.96659982304656,107.3068889884948,103.44467715223354,105.42798131035364,1975129936.105391
2384.0,2025-03-07,100.26845554367678,103.15436368920965,98.99329054942908,100.06711504995324,178854985.20586675,108.355169724775,111.63170951082566,108.06028064407016,109.96067971950303,349741694.7845084,99.3238869049788,101.25563307337882,98.39020723625896,99.7746254259598,53590634.8618667,97.35408449420603,97.8988291848378,94.9416299384557,95.25291367904384,614397304.7179787,97.40932826061744,99.11917252650944,95.18135715501684,95.62176694529634,99301673.54807356,103.34345451110497,104.4072795519664,100.51670615130357,101.39816781077356,203749673.3571369,97.45017890058676,99.26729188796553,96.5709314021931,97.03986414668564,94467690.5305504,100.23635124469604,100.63815220215896,97.66012774682588,98.15646215069292,158579967.9717337,99.63632215725384,100.21931922714856,98.62024717765982,98.94228680116696,22144399.25826719,105.0104518336315,108.2463546794521,104.27975606614976,105.3236014740679,1964017891.7592888
2384.0,2025-03-10,99.06040529324964,102.01342264323188,97.55033560260604,101.64429947479586,170194165.9483902,109.40367503697898,110.71429611369332,107.17562670597,110.19005018280936,225550458.53923097,99.80682747803417,101.12685276954,99.42047576646684,100.80489403337592,41062361.66710892,95.4085592601328,97.66536823479414,95.4085592601328,97.58754544424968,577838994.5192152,95.6217633398102,96.50259276979293,94.1968948190652,94.84456322691616,67231285.97952127,101.73251409374129,103.25227074721305,101.3373741172882,102.70515742437736,128914133.55378865,97.2450215236362,99.20867389737413,95.9847626765178,96.92262816550286,61741816.11803559,97.61285582594375,98.41644871912663,95.88749647035866,97.0928903181657,172003242.7132806,98.80347372731389,99.21712072734591,96.88792828322622,97.44315783375389,25075390.11322556,107.3068889884948,109.08142009635095,104.4885224938596,105.42798131035364,1753718800.2404552
2384.0,2025-03-11,101.10738235973388,108.52349326312968,101.10738235973388,107.34899530823452,301310490.2332203,108.65007082072724,109.665802766372,107.47051436746462,108.55177861595828,174586534.45913032,100.67611442979184,104.50740436135642,99.90341714592542,104.24984474091973,74269342.9044712,96.1867649008082,98.05447476592676,95.0194527290002,98.05447476592676,549690310.5299445,93.41969525153851,94.5336857101563,92.8756462749646,94.5336857101563,55037199.49875244,100.97263694816031,105.77506200000066,99.9999936061465,104.8632103162156,204830188.0910293,95.92614468592642,96.0726840722856,94.40211047126608,96.0726840722856,67837379.02866758,95.72205210104084,96.07658182635976,93.83124793682596,95.17844646733316,190607050.37211105,95.77746011704404,97.65692044805223,95.74414545537824,97.27103461876304,24112937.959524907,103.34029102638094,105.63674481392296,102.40084216110404,104.17536332096952,1387656757.7310226
2384.0,2025-03-12,107.2147692684429,109.02685290476532,105.87248224872307,107.4832189917882,174522552.12104732,108.68282830790106,110.22280614311256,108.12582249457424,109.04324971605764,138869160.71145156,104.50739766912793,104.50739766912793,99.25949331610327,99.48486257519276,65076222.73776955,97.35408449420603,98.677042247103,96.73151701302976,96.88715517252894,343635857.5029823,94.61140490098282,95.18135627857734,93.57513146583575,93.78239010591952,47538539.17148035,105.04559058033628,109.42248583979134,103.67780718837412,107.53799071910116,286840440.00029224,95.89684128075,96.5709314021931,94.95897579176491,95.22275115930688,46391519.62343168,95.08390805356406,96.80926749037612,93.50036231613072,95.84022975145248,199667092.69728217,98.4009337328588,99.9083856797029,97.44315783375389,97.44315783375389,32744899.66163697,104.90605863954065,106.99373936794578,102.81837791113546,105.42798131035364,1894971459.712221
2384.0,2025-03-13,107.44967140014236,111.67785390101572,106.10739073315882,107.04698399979776,183908316.99030963,108.45346945428996,110.35386866176734,107.40497764982248,108.6500663547557,133188620.92869696,99.7746336931122,101.44881425383538,99.549264413948,101.44881425383538,38856087.3139739,96.5758714319408,97.1206161225726,93.6964949761032,94.78599177895651,380363412.83290833,93.65286048522448,94.68912406083967,93.0051920444764,93.52331889096594,53639195.521172,108.05469774528278,108.63221270499102,105.1975593579454,105.47111602443265,178494447.2936996,95.22275115930688,95.60375132779308,93.49355397757672,94.0504137079563,58295690.57053092,95.9583993767793,96.57291636606246,95.10754426372368,95.4147937422998,128849999.43078744,97.68468586527165,99.2087983437786,97.47925073781244,98.41481264006433,25842556.9897978,104.3841342437212,104.90605690590915,98.74739139275412,100.62630899469208,2443929004.734924
2384.0,2025-03-14,106.81208342623609,112.91947153283763,106.40939603440016,112.44966210844689,248223291.6009814,107.99475857914588,109.37091191913824,107.73264187091448,109.272607216919,155979083.8038139,101.25564128759328,102.22151137972216,99.8712229855835,101.7063798451398,38271453.72114614,94.78599177895651,98.05447476592676,94.78599177895651,97.50972265370518,628760214.7974328,94.04145029802233,95.3367871062117,93.75647461899896,95.15544074367604,68522114.49218507,105.50151299654824,109.4224882758576,105.34953963735217,108.72340154769628,248268852.95754123,94.37280706608963,95.63306591320804,94.25557108490686,95.60375132779308,67160198.46819551,95.01299750262724,97.47104731641797,94.56392533476134,96.9038015839797,205024293.48463348,99.10885500912204,104.71114487038328,98.72574591191756,104.36689758530464,56811480.18627039,99.68685301465804,102.71399259519394,98.85178071346516,101.98330682036196,1403036364.1516914
