Date,Open,High,Low,Close,Volume,ticket
2025-03-03,100.22428324968162,102.47407780998937,98.54220165472528,100.0,19769977.968860317,nymoh
2025-03-04,98.26885387635585,101.48584023840397,98.12166667080795,100.50461715504811,19267302.46632078,nymoh
2025-03-05,99.69161674912476,103.16792122130327,99.68460121425484,101.68208226903448,16271972.381593648,nymoh
2025-03-06,102.75440993086502,104.34538563911285,102.46705105906805,103.06279401821661,22418697.101362176,nymoh
2025-03-07,102.32688501037927,103.31511297337161,101.13540972105892,101.56294028483772,15428760.763863318,nymoh
2025-03-10,101.53490694117212,101.97645791311155,100.29437628715579,101.668073786323,11494482.955331862,nymoh
2025-03-11,99.56545356102671,101.17745448300026,98.33192790743267,99.87383764802843,14371729.255829189,nymoh
2025-03-12,100.57471458260846,100.92514912819249,98.65432942281923,98.73844098596066,12774498.74769755,nymoh
2025-03-13,98.12167082774343,98.128675668528,95.25511886807784,96.15923527230588,18141118.42926098,nymoh
2025-03-14,95.82281732686316,98.46509663856648,95.7737513600678,97.89738372502434,14778529.14664258,nymoh
2025-03-17,98.82253468619302,99.56545415783422,97.89738241964241,98.30388774636197,8664957.451905373,nymoh
2025-03-18,98.96271432508799,99.6635834218583,97.49089563851851,98.59825940033159,8696113.009644566,nymoh
2025-03-19,98.24782624739382,98.59826080075632,97.14046246985251,98.19176612994002,6827784.972392108,nymoh
2025-03-20,98.17774065246162,98.17774065246162,96.57274449257851,96.69190164561506,7909989.500325055,nymoh
2025-03-21,96.93020061450109,97.18251392334217,94.39304714937306,95.31819951326167,9493477.997146053,nymoh
2025-03-24,95.31119382417157,96.39753238578132,93.9164604495953,95.4583703479447,7747688.060956144,nymoh
2025-03-25,95.6405967323126,95.6405967323126,93.70619128028235,93.90944929676449,6792956.470387002,nymoh
2025-03-26,93.90944498664274,94.46312681366298,93.48191445144509,93.63610649328115,5404485.602085769,nymoh
2025-03-27,93.44686855104712,95.76674331677411,93.2996813499965,93.96551548044849,9797620.75147608,nymoh
2025-03-28,93.95851184113452,95.50743729074988,93.4328600049106,93.49593565859811,7101120.933113311,nymoh
2025-03-31,93.47490684937807,94.52621048143466,91.81385053294102,93.01934621991899,8385680.523209841,nymoh
2025-04-01,93.4258508966138,94.30193725030594,92.51471894989126,93.67816419425368,6506518.956121841,nymoh
2025-04-02,93.56601598528171,94.93972399667466,93.42584431744476,93.88842044627822,6017736.243729108,nymoh
2025-04-03,92.5217258817661,93.91645923835449,90.95879078589202,91.24614968305673,9569090.060610607,nymoh
2025-04-07,83.75385351204832,86.42416294638909,82.12082730250056,82.12082730250056,16366190.835270027,nymoh
2025-04-08,83.40341764003088,83.50153888006615,79.13512765687668,80.70507284464765,21601182.70658722,nymoh
2025-04-09,79.19820894517711,85.84245042007453,78.14690528661284,83.88702497348011,22287271.503854163,nymoh
2025-04-10,86.71152295674356,87.61564470664095,85.02242591656454,86.206896366363,14306012.229631178,nymoh
2025-04-11,86.21390842965985,91.90496737677793,85.99663537522693,90.41211278989523,17698956.673923913,nymoh
2025-04-14,91.1199847730656,91.79982863272885,88.30950362668145,88.74404437904525,13967460.194826493,nymoh
2025-04-15,88.30950257950585,88.30950257950585,85.57611214450839,86.73955736419916,10373948.19261008,nymoh
2025-04-16,88.23241224589657,88.29549324664143,85.53406722912267,87.06196211001077,9968866.053210517,nymoh
2025-04-17,86.76759085449133,87.23717183642395,85.52704963690037,85.78637311136787,9343395.28009816,nymoh
2025-04-18,85.49901578974087,86.19288001446601,84.93131355788087,85.70226846036884,5167418.997201206,nymoh
2025-04-21,86.20689300629742,87.74179793434489,85.85645848188157,87.4193988135471,7885279.385544729,nymoh
2025-04-22,87.11802663361786,87.11802663361786,85.87748539818715,86.0316774475362,7678111.37838202,nymoh
2025-04-23,86.1017658232711,87.60863542197032,85.89851314742731,86.78160968969867,7629463.361926191,nymoh
2025-04-24,86.82365923911382,86.83066942709408,84.91028965542547,85.29576443903123,5969060.74888725,nymoh
2025-04-25,85.91253415664765,86.2068978905051,85.12054866438433,85.40790755734527,6693563.625249112,nymoh
2025-04-28,85.35884411554545,86.24194063515506,84.95934896216126,85.70226846036884,6882826.293330748,nymoh
2025-04-29,85.74431879629873,90.55228100721972,85.16960637721638,89.99859915172885,17299146.861771967,nymoh
2025-04-30,91.09895195353387,93.39780147672636,90.08969885663717,92.22034665995521,18044696.068110254,nymoh
2025-05-06,93.21558488115512,94.84861107255304,92.66890787048786,94.75749467263745,12424667.18771485,nymoh
2025-05-07,96.08915317391663,96.22230931307682,91.70872151380762,92.33949939509802,14808024.728036005,nymoh
2025-05-08,92.3395058695403,92.76703645732005,91.80684919231226,92.06616734256072,7172372.3880872205,nymoh
2025-05-09,91.67367528644765,92.44462483663708,91.11297789895606,91.63162485390808,7647260.196611151,nymoh
2025-05-12,92.72498581546995,93.83236029765834,91.82085867056792,92.45865213024082,8275230.798278172,nymoh
2025-05-13,93.11046718191552,93.41884061244153,91.64564258845004,91.98907230839046,7361185.537956376,nymoh
2025-05-14,92.2343815548552,93.40483171569524,91.81385580014229,92.76003340103921,8394021.270230727,nymoh
2025-05-15,92.6899336700115,92.6899336700115,89.7112401494251,89.73927020642998,8419806.564936198,nymoh
2025-05-16,89.38183273961084,90.32801027350006,89.22764068676352,90.23689387106842,4834659.2652566945,nymoh
2025-05-19,90.24390254686543,90.39809460626527,88.73002805328126,89.86543793387457,5020992.314643208,nymoh
2025-05-20,90.0967261551939,92.51472244382008,89.90748850121385,92.26941397775651,9779564.633558841,nymoh
2025-05-21,91.6596500762055,91.89794297763635,90.37705847933324,91.62460448613326,5520802.31472169,nymoh
2025-05-22,91.32324621387374,94.5122027698034,90.90272047451963,93.3207167397713,12096873.29332763,nymoh
2025-05-23,92.4726706059457,93.27866579179293,91.19708371282259,91.24614968305673,6913140.5897130435,nymoh
2025-05-26,89.71124340250391,90.66442579143204,88.80011144781452,90.2859611888697,6724761.457428351,nymoh
2025-05-27,90.05467314770344,90.26492531899422,88.88421770451906,88.91926329787206,4374574.556488534,nymoh
2025-05-28,89.01037716962274,89.4729533499195,88.39361427643405,88.62489701937545,4801435.0782512985,nymoh
2025-05-29,89.0033599162604,90.57330510434213,88.37958688425272,89.81636524060026,5671380.34729211,nymoh
2025-05-30,89.47294752357254,89.47294752357254,87.32828454571931,87.32828454571931,5777325.02606298,nymoh
2025-06-03,86.21390529754618,88.55480541110079,86.21390529754618,87.32828454571931,5042418.410006034,nymoh
2025-06-04,87.37034489223224,89.87945756273945,87.13905680505663,89.80936637471757,7630224.3018470025,nymoh
2025-06-05,89.81636569856565,93.13148405002998,89.43089092415853,92.93524156891996,9093268.691535683,nymoh
2025-06-06,93.04036843395171,93.98654595002837,92.41659539350813,92.79505998329088,6996305.686465645,nymoh
2025-06-09,92.851129986985,93.00532203559295,91.02887684934777,91.11297771425642,6575045.118860846,nymoh
2025-06-10,90.97280840985357,91.32324294864776,88.40061483122713,88.80712017955798,6939075.958680674,nymoh
2025-06-11,88.81413333051847,90.57331092396515,88.81413333051847,89.03140104071308,5012235.164387878,nymoh
2025-06-12,88.65994349716716,89.02439308604451,88.02916022102654,88.02916022102654,5629203.843033177,nymoh
2025-06-13,87.95907304027334,89.33277585007416,87.033926031746,87.26521412067957,7043063.330877459,nymoh
2025-06-16,87.03392082405713,88.2394164730511,86.66947126253196,88.2394164730511,4249484.488395267,nymoh
2025-06-17,88.87019802434503,90.17381489018906,87.31426787174367,87.60863159055839,6850419.412166222,nymoh
2025-06-18,87.2932458500905,88.97532736041744,86.76759404131164,88.15531182205206,5238211.774500627,nymoh
2025-06-19,88.3094994960048,90.2088593097542,87.95205478654127,88.53377737607467,8550339.467185264,nymoh
2025-06-20,88.35155274031563,89.01037137339807,87.07597125420718,87.32828454571931,5134723.945270374,nymoh
2025-06-23,86.47322558190716,87.9941155567097,85.77235649853142,86.78160968969867,6184983.792583288,nymoh
2025-06-24,87.02691412386689,88.87020326340976,87.02691412386689,88.4566877173774,7665162.717396225,nymoh
2025-06-25,88.93328309441614,90.2228797213956,87.95907543569379,90.09672841185842,9763917.454150172,nymoh
2025-06-26,89.85141044060092,90.01962286328131,88.51976351789017,88.51976351789017,7677206.000791055,nymoh
2025-06-27,89.0103735011339,90.68545018097713,88.23941857962055,89.51500009622096,8830264.603961488,nymoh
2025-06-30,89.8093625021224,90.25791828064472,89.36080672360006,89.4659381538927,6741819.898560524,nymoh
2025-07-01,89.47294660050278,89.85141118665987,88.67395095415297,89.48696162890593,5784924.561235078,nymoh
2025-07-02,89.01036959887118,89.01036959887118,86.92878765899809,87.34930802073255,8946094.455962889,nymoh
